"Numero";"Modulo";"Funcionalidade";"Funcionalidade_Similar_TRT";"Descricao_Requisito";"Tipo_Requisito";"Obrigatoriedade";"Nivel_Similaridade"
"1";"Tecnológico";"Operação em ambiente WEB";"Acesso via internet e responsividade";"A solução contratada deverá operar em ambiente WEB, com a exceção do módulo 'LABORATÓRIO MUNICIPAL', e apresentar programação responsiva para se ajustar conforme o dispositivo utilizado, garantindo uma leitura e usabilidade eficientes.";"Funcional";"Obrigatorio";"Atende"
"2";"Tecnológico";"Acesso via navegadores";"Compatibilidade com navegadores principais";"Deverá possibilitar o acesso através dos principais navegadores de internet, como Mozilla Firefox, Google Chrome e Microsoft Edge em suas versões mais recentes, ou por meio de navegadores específicos, quando aplicável.";"Funcional";"Obrigatorio";"Atende"
"3";"Tecnológico";"Acesso seguro ao servidor WEB";"Uso de certificado SSL";"É essencial que a solução ofereça acesso seguro ao servidor WEB com certificado SSL, garantindo a troca de dados criptografados entre o servidor e todos os usuários do sistema.";"Funcional";"Obrigatorio";"Atende"
"4";"Tecnológico";"Integração de banco de dados";"Banco de dados gratuito preferencialmente PostgreSQL";"A contratada deverá integrar ao seu sistema um banco de dados gratuito, dando preferência ao PostgreSQL. Caso opte por um banco de dados não gratuito, todos os custos associados serão de responsabilidade exclusiva da contratada.";"Funcional";"Obrigatorio";"Nao_atende"
"5";"Segurança";"Privacidade e segurança dos dados";"Implementação de SGSI";"A contratada deve assegurar a privacidade, transparência e segurança dos dados de todos os cadastros e tabelas, mediante a comprovação da implementação de um SGSI (Sistema de Gestão de Segurança da Informação).";"Não Funcional";"Obrigatorio";"Nao_atende"
"6";"Segurança";"Comprovação de implementação do SGSI";"Certificado de auditoria acreditada";"As licitantes devem comprovar sua implementação por meio de certificado de auditoria acreditada, atestando o funcionamento e manutenção do SGSI.";"Não Funcional";"Obrigatorio";"Nao_atende"
"7";"Tecnológico";"Operação em modelo SaaS";"Níveis de SLA de mercado";"A solução deve operar na infraestrutura da contratada no modelo SaaS, com níveis de SLA (Service Level Agreement) de mercado, caso não seja ON PREMISE.";"Funcional";"Obrigatorio";"Nao_atende"
"8";"Tecnológico";"Acesso sem instalação adicional";"Operação apenas com navegador";"O sistema não deve depender da instalação de programas adicionais para acesso e operação, sendo suficiente que o usuário esteja conectado à internet e utilizando um navegador.";"Funcional";"Obrigatorio";"Atende"
"9";"Tecnológico";"Manutenção e gerenciamento de recursos";"Responsabilidade pela manutenção e backups";"A contratada é responsável pela manutenção, adequação de acessos, carga e balanceamento de dados, elasticidade de recursos de hardware, sistema de backups inteligente e previsão de reestabelecimento do serviço, de acordo com os níveis de SLA de mercado, caso a solução não seja ON PREMISE.";"Funcional";"Obrigatorio";"Nao_atende"
"10";"Tecnológico";"Modelo de acessibilidade";"Implementação do eMAG";"A solução deve prover um modelo de acessibilidade, preferencialmente o Modelo de Acessibilidade em Governo Eletrônico (eMAG).";"Não Funcional";"Obrigatorio";"Nao_atende"
"11";"Tecnológico";"Modelo de Qualidade de Serviços Públicos";"Qualidade de Serviços Públicos";"A solução deve prover um modelo de Qualidade de Serviços Públicos, conforme a Portaria SGD/ME nº. 548, de 24 de janeiro de 2022.";"Funcional";"Obrigatorio";"Nao_atende"
"12";"Tecnológico";"Disponibilização da última versão dos sistemas";"Última versão dos sistemas";"Deve ser disponibilizada sempre a última versão dos sistemas sem interrupção no serviço, por meio de janelas de manutenção programada nos servidores.";"Funcional";"Obrigatorio";"Nao_atende"
"13";"Tecnológico";"Informativo de Atualização do Sistema";"Atualização do Sistema";"Em modificações de versões de sistema, é necessária a disponibilização de Informativo de Atualização do Sistema, apresentando aos usuários as recentes correções e melhorias realizadas.";"Funcional";"Obrigatorio";"Nao_atende"
"14";"Tecnológico";"Operação em dispositivos móveis";"Dispositivos móveis";"Quando necessário, as soluções também devem operar em dispositivos móveis, suportando no mínimo os sistemas operacionais Android e IOS em suas versões mais recentes.";"Funcional";"Obrigatorio";"Nao_atende"
"15";"Tecnológico";"Módulo web para administração";"Administração de serviços integrados";"Os Aplicativos (APPs) devem ter um módulo web para administração dos serviços integrados, acessível pelos principais navegadores de internet em suas versões mais atualizadas.";"Funcional";"Obrigatorio";"Atende"
"16";"Tecnológico";"Plugin para LibreOffice/OpenOffice";"Editor de texto";"Em caso de sistemas que utilizem editor de texto, é necessário que possuam plugin para o LibreOffice/OpenOffice.";"Funcional";"Obrigatorio";"Nao_atende"
"17";"Tecnológico";"Autenticação única (SINGLE SIGN ON)";"Acesso a sistemas WEB";"Caso haja mais de um sistema especificado, é essencial validar o acesso aos demais sistemas WEB, garantindo autenticação única no modelo SINGLE SIGN ON (SSO).";"Funcional";"Obrigatorio";"Nao_atende"
"18";"Tecnológico";"Integração de senha (LDAP e Gov.br)";"Senha de conexão";"A senha de conexão dos usuários à plataforma deve ser integrada, no mínimo, ao cadastro de usuários da rede da contratante (LDAP) e ao login único Gov.br.";"Funcional";"Obrigatorio";"Nao_atende"
"19";"Segurança";"Mecanismo de bloqueio de abuso/spam/robôs";"Bloqueio de spam";"A solução deve contar com mecanismo de bloqueio de abuso/spam/robôs para inserção de informações, incluindo ferramentas que garantam a detecção de atividades humanas, como testes de digitação de códigos e/ou identificação de padrões em fotografias/imagens (captcha).";"Funcional";"Obrigatorio";"Atende"
"20";"Auditoria";"Trilha de auditoria";"Registro de atividades";"Deverá possuir trilha de auditoria dos documentos/acessos, registrando todas as atividades realizadas, incluindo visualizações, com data, hora e IP.";"Funcional";"Obrigatorio";"Nao_atende"
"21";"Acesso";"Divisão de permissões por usuários";"Gestão de permissões";"Deve permitir a divisão de permissões por usuários, por níveis de acesso e/ou perfis, possibilitando exibir somente os órgãos e funções vinculados ao seu cadastro em cada módulo/aplicação.";"Funcional";"Obrigatorio";"Nao_atende"
"22";"Atendimento";"Cancelar atendimento não iniciado";"Gerenciamento de atendimentos";"O recepcionista deve ter a capacidade de cancelar um atendimento que ainda não foi iniciado.";"Funcional";"Obrigatorio";"Nao_atende"
"23";"Informação";"Exibir agendamentos em aberto";"Visualização de consultas";"Informações sobre agendamentos em aberto para o paciente devem ser exibidas ao recepcionista, incluindo local e data da consulta.";"Funcional";"Obrigatorio";"Nao_atende"
"24";"Validação";"Confirmação de chegada do paciente";"Validação de atendimentos";"Implementar uma validação que exige que o recepcionista confirme a chegada do paciente ao atendimento agendado somente após a inserção da chave de validação do agendamento.";"Funcional";"Obrigatorio";"Nao_atende"
"25";"Registro";"Registrar não comparecimento";"Gerenciamento de faltas";"Incluir uma funcionalidade que permite ao recepcionista registrar o não comparecimento de um paciente a uma consulta agendada, especificando o motivo da ausência.";"Funcional";"Obrigatorio";"Nao_atende"
"26";"Visualização";"Visualização de pacientes agendados";"Exibição de agendamentos";"No ambiente da recepção, apresentar uma visualização de todos os pacientes agendados para uma data específica ou período determinado, com a opção de filtrar por profissional, unidade de atendimento, especialidade/tipo de exame e período.";"Funcional";"Obrigatorio";"Nao_atende"
"27";"Autenticação";"Autenticação por impressão digital";"Confirmação de presença";"Possibilitar a autenticação do usuário (paciente) por meio de impressão digital (biometria) ao confirmar a presença em um agendamento de consulta.";"Funcional";"Obrigatorio";"Nao_atende"
"28";"Exibição";"Exibir agendas disponíveis";"Visualização de agendamentos";"No ambiente da recepção, exibir todas as agendas disponíveis para uma determinada unidade de atendimento, permitindo filtros por especialidade/tipo de exame, período e profissional da agenda.";"Funcional";"Obrigatorio";"Nao_atende"
"29";"Parâmetro";"Configuração de recursos";"Parametrização de serviços";"Estabelecer um parâmetro para configurar quais recursos estarão disponíveis no ambiente da recepção, com a opção de parametrizar por estabelecimento de saúde.";"Funcional";"Obrigatorio";"Nao_atende"
"30";"Cadastro";"Facilitar cadastro de agendas";"Agendamento de profissionais";"Facilitar o cadastro de agendas por profissional, permitindo a definição de disponibilidade para outras unidades ou exclusividade para a unidade de atendimento.";"Funcional";"Obrigatorio";"Nao_atende"
